,,,,,,,,
Revenues,Actual,Error,Linear,Logarithmic,Exponential,,,
IBM,14.46,,15.2,14.95,15.19,-0.74,-0.49,-0.73
MSFT,41.7,,42.82,46.15,43.32,-1.12,-4.45,-1.62
AAPL,111.43,,98.47,90.05,97.28,12.96,21.38,14.15
GOOG,55.31,,60.53,66.04,60.84,-5.22,-10.73,-5.53
FB,27.91,,27.43,28.25,27.66,0.48,-0.34,0.25
PG,20.35,,21.12,20.74,21.16,-0.77,-0.39,-0.81
GE,7.863,,6.52,6.98,6.51,1.343,0.883,1.353
,,,,,,,,
Earnings,Actual,Error,Linear,Logarithmic,Exponential,,,
IBM,2.8,,2.77,2.93,2.76,0.03,-0.13,0.04
MSFT,1.95,,2.02,2.18,2.03,-0.07,-0.23,-0.08
AAPL,1.4,,1.24,1.26,1.24,0.16,0.14,0.16
GOOG,1.27,,1.43,1.35,1.41,-0.16,-0.08,-0.14
FB,1.78,,1.72,2.01,1.76,0.06,-0.23,0.02
PG,1.06,,1.02,1.14,1.06,0.04,-0.08,0
GE,1.06,,0.03,0.1,0.06,1.03,0.96,1
,,,,,,,,
Dividends,Actual,Error,Linear,Logarithmic,Exponential,0,-0.03,0
IBM,1.64,,1.64,1.67,1.64,0.01,-0.31,0
MSFT,0.51,,0.5,0.82,0.51,0,-0.03,0
AAPL,0.22,,0.22,0.25,0.22,0,0,0
GOOG,,,,,,0,0,0
FB,,,,,,0,-0.15,0
PG,0.79,,0.79,0.94,0.79,0.01,-0.08,0
GE,0.01,,0,0.09,0.01,0,0,0
